id,slug,name,datereleased,yearreleased,background_image,rating,metacritic,playtime,platforms,genres,description
10281,besiege,Besiege,2015-01-28,2015,https://media.rawg.io/media/screenshots/570/5704316c673fab6994db582e0f43f924.jpg,3.8,,2,"PC, Apple Macintosh, Linux","Strategy, Simulation, Indie","In Besiege, you build impossible siege weapons and launch them to see if they will work. The game uses realistic physics system and was often compared to Kerbal Space Program. Each machine has to be assembled before use. The player is given a variety of modules to build from, and they include all kinds of weaponry, not necessarily medieval. Using improbable combinations of wheels, drills, spikes, blades, propellers, cannons, and water hoses you can turn your death machine into a plane, a tank, a robot, or rather something not found in the real world. Each machine is built with a purpose to complete a level objective, be it to destroy an enemy castle, slaughter the opposing army, or move an object to a destination. Levels include many kinds of obstacles, such as landmines, trees, rocks, and enemy soldiers. The machines can be of any shape, however grotesque or impractical. If they’re not well-thought or too shaky to withstand attacks and obstacles, they will fall apart, catch fire, or explode. However, failing spectacularly is half the fun of Besiege."
10293,tabletop-simulator,Tabletop Simulator,2015-06-05,2015,https://media.rawg.io/media/games/f86/f869253c68b38fa789f58cc5be2cb996.jpg,4.06,,7,"PC, Apple Macintosh, Linux","RPG, Strategy, Simulation, Casual, Indie","Mods and Kickstarter A unique set of digitized board games from the Berserk Games studio. The studio successfully raised funds for development in 2014 at Kickstarter and released the project in the same year. Only two people worked on the game: they just graduated from college and had some experience developing game mods. The game uses the Unity graphics engine and is available on Steam for Microsoft Windows, Linux, and OS X. Game mechanics There are no conditions for victory or defeat in the game. Each time players simply spawn on the playing field, where they can interact freely with game figures and pieces. All the craziness occurs within the realistic physical model, which the developers have added for greater similarity to the real prototypes. In addition to the insanity that can be arranged in multiplayer along with ten other players, the game engine supports the ability to use preset rules for different board games and thus play them. Key features There are several games included. For example, chess, poker, and checkers. The set is small, but the game supports Steam Workshop and the ability to download your own models of figures and game boards. Thus, players added to the standard set of three games three thousand more variations, most of which are variations on games, for the inclusion of which developers will have to purchase a license."
10296,tera,TERA,2017-01-31,2017,https://media.rawg.io/media/screenshots/6d3/6d367773c06886535620f2d7fb1cb866.jpg,2.85,77.0,3,"PC, PlayStation, Xbox","Action, RPG, Massively Multiplayer","TERA or The Exiled Realm of Arborea is a third person Korean MMORPG game which is also a free-to-play title. TERA is just a typical Korean MMORPG game, with quest, crafting and PVP modes. Combat of the game happens in real-time, with element of dodging the enemy attacks. There are 13 different classes in TERA since the October 2017 patch. The game has its own currency called Chronoscrolls which lets players to buy various things in the game with real money, but this currency is only available for those who purchased the game either physically or digitally. The plot of TERA is about two titan beings Arun and Shara who met each other in a formless void where they fell asleep and began to dream. The Exiled Realm of Arborea began to manifest itself as they slept. Now both of their bodies form the two continents from witch the Exiled Realms of Arborea is made of. Everything what happens in the world of TERA is a manifestation of Arun and Shara dreams."
10297,civilization-vi,Sid Meier’s Civilization VI,2016-10-20,2016,https://media.rawg.io/media/games/997/997ab4d67e96fb20a4092383477d4463.jpg,4.17,88.0,15,"PC, PlayStation, Xbox, iOS, Apple Macintosh, Linux, Nintendo","Strategy, Simulation","The sixth installment in Sid Meier’s Civilization series. Like in all previous Civilization games, the player controls one of eighteen unique historical civilizations, builds its cities, explores the hexagonal map of the world, researches technologies, develops his country's culture, establishes relationships with other civilizations and wages wars. All the traditional victory types are in place, and a new one, religious, is introduced. A distinct new feature in the sixth part is that city improvements are no more concentrated in each city's only main tile. Instead, they are distributed throughout its whole surrounding area. Each of them is now considered a ""district"" with a specific purpose, and some of them should be built only on specific terrain. Similarly, wonders now occupy tiles on their own. Technology tree was also modified to take into account the player's terrain improvements that may speed up the research of certain technologies. Cultural achievements, such as Opera or Drama, are no more considered ""technologies"" and form a separate Civics research tree instead. Also, unlike most of its predecessors, Civilization VI allows stacking similar types of military units."
10301,dead-island-riptide-definitive-edition,Dead Island: Riptide Definitive Edition,2016-05-31,2016,https://media.rawg.io/media/games/6c1/6c1eaddfb0e7861a799d273177492e45.jpg,3.59,,5,"PC, PlayStation, Xbox, Linux","Action, RPG","Continue the story of the outbreak and see another paradise gone to hell - fully remastered.Paradise gone to Hell!Welcome to the zombie apocalypse experience of a lifetime – and now more beautiful than ever. Caught in the midst of an epic zombie outbreak on the tropical island of Banoi, your only thought is: Survive!The Dead Island ExperienceSmash heads, crack skulls and slice ‘em up with visceral astounding melee combat and true story-based 4 player co-op in a sprawling open world just waiting for exploration.FeaturesIncludes all previously released DLC!Fully remastered: Experience Dead Island: Riptide in crisp full HD with improved graphics, game models and a photorealistic lighting system with physically based shadingAdrenaline-Fuelled Combat: Smash heads, crack skulls and slice ‘em up with the weapon of your choice in the visceral astounding melee combatSeamless Coop Multiplayer: Collaborate with your friends, live through a story of the struggle for survival in a world gone madExperience the atmosphere: Experience the dense atmosphere - feel the destruction, the horror and madness. Immerse yourself in the turmoil that is taking place on the Island."
10302,dead-island-definitive-edition,Dead Island Definitive Edition,2016-05-31,2016,https://media.rawg.io/media/games/dc9/dc9bfcddb7d0abc2d689193b3f43893a.jpg,3.53,67.0,6,"PC, PlayStation, Xbox, Linux",Action,"The game that re-defined the zombie genre - fully remastered.Paradise meets Hell!Welcome to the zombie apocalypse experience of a lifetime – and now more beautiful than ever. Caught in the midst of an epic zombie outbreak on the tropical island of Banoi, your only thought is: Survive!The Dead Island ExperienceSmash heads, crack skulls and slice ‘em up with visceral astounding melee combat and true story-based 4 player co-op in a sprawling open world just waiting for exploration.FeaturesIncludes all previously released DLC!Fully remastered: Experience Dead Island in crisp full HD with Improved graphics, game models and a photorealistic lighting system with physically based shadingAdrenaline-Fuelled Combat: Smash heads, crack skulls and slice ‘em up with the weapon of your choice in the visceral astounding melee combatSeamless Coop Multiplayer: Collaborate with your friends, live through a story of the struggle for survival in a world gone madDiscover the Island: Explore the island paradise; from the deserted city, secluded beaches and vast highlands – discover the story behind the zombie outbreakExperience the atmosphere: Experience the dense atmosphere - feel the destruction, the horror and madness. Immerse yourself in the turmoil that is taking place on the Island."
10304,castle-of-illusion,Castle of Illusion,2013-09-03,2013,https://media.rawg.io/media/screenshots/842/84296aef240c53460837fab66af83b12.jpg,3.78,,2,"PC, Xbox, iOS, Android, Apple Macintosh","Adventure, RPG, Casual","Mickey Mouse returns to star in Castle of Illusion, a fantastical reimagining of the Sega Genesis classic. With all-new HD graphics and gameplay, Castle of Illusion brings Mickey and his world to life in this magical Disney adventure! When the evil witch Mizrabel kidnaps Minnie, it’s up to Mickey to brave the dangers of the Castle of Illusion to rescue Minnie. Gather your courage and traverse enchanted forests, take on hordes of rebellious toys and navigate mazes of living books. Play as Mickey and save Minnie from Mizrabel’s evil clutches! Features: - Play as Mickey Mouse in this reimagining of the classic Sega Genesis. - Experience a world of wonder, brought to life with all-new graphics and magical adventures. - Journey across five magical worlds filled with Mizrabel’s powerful minions. - Complete hidden challenges to customize Mickey with classic costumes!"
10309,endless-space-2,Endless Space 2,2016-10-06,2016,https://media.rawg.io/media/games/72b/72bf31a664fcbcb079baf4ef8221f308.jpg,3.87,82.0,5,"PC, Apple Macintosh",Strategy,"You will explore mysterious star systems, discover the secrets of ancient races, develop advanced technologies of unthinkable power, and, of course, encounter new life forms to understand, to court or to conquer. Your story unfolds in a galaxy that was first colonized by a people known as the Endless, who rose and fell eons ago. All that remains of them are mystical ruins, powerful artifacts, and a mysterious, near-magical substance known as Dust.EXPLORE the Endless universe The new Galaxy Generator has been completely overhauled to provide unique star systems and curiosities to explore, different planet types to colonize, luxuries and strategic resources to exploit, the mysteries of the Dust and new lifeforms to master, and a host of strange cosmic anomalies to deal with.EXPAND beyond the unknown Claim new systems by establishing outposts, and develop your planets into feared stellar fortresses or fabulous utopias full of wonders. Train your heroes to become fleet admirals, system governors or influential senators to guide your populations and make your galactic civilization thrive.EXPLOIT every opportunity Collect Dust, luxuries and strategic resources that are tradable on the marketplace, discover amazing new technologies, and keep one step ahead of the competition through trade corporations and subtle diplomacy.EXTERMINATE all resistance Design your ships, build your fleets and carefully choose your battle plans to overcome up to seven opponents in online confrontations. Watch epic real-time space battles unfold, and improve your strategy for your next confrontations.EXPERIENCE a galactic saga Discover each civilization’s story, from the Sophon’s AI gone berserk to the traditional Lumeris families facing an ambitious young upstart. Learn more about the origins of the lethal Endless creation called the Cravers. Find out more about the Heretic, a mysterious and powerful character hunted by the Vodyani… The galaxy will belong to the civilization that controls Dust and uncovers its secrets… but were the Endless alone in the galaxy? What is the true origin of Dust? Are the rumors around a mysterious organization called the Academy real?AMPLIFIED REALITY Press Space anytime to activate the Amplified Reality view and reveal in-depth contextual information about your systems, trade routes, diplomatic stances and even your ship stats during battle!GAMES2GETHER Follow the development of the game and get to know the talent behind the scene. Make your voice count by giving feedback on the game, submitting ideas, and voting for Art and gameplay elements. Participate in contests and design content that will be created by the studio and added to the game!"
10310,robocraft,Robocraft,2014-07-08,2014,https://media.rawg.io/media/screenshots/2b9/2b9a49e89c1ba892a648620194dcf327.jpg,2.59,,2,"PC, Apple Macintosh, Linux","Action, RPG, Simulation, Massively Multiplayer, Indie","Robocraft is a free-to-play multiplayer third-person action game developed by Freejam Games. Players build their own robots using building blocks that can be acquired in the in-game shop using ROBITS, an in-game currency which can be earned by playing the game, recycling other parts, opening loot boxes and be bought with real money. Players can build whichever robots they like unless it uses under 2000 CPU. This limit does not increase with leveling up. In order to destroy an enemy robot, the players have to damage at least 75% of their CPU. One of the main features of the game is a complex damage model that allows for damage redirection and redistribution. Players have a wide variety of weaponry in their disposal which includes several energy weapons, ballistics and all things explosive. There are multiple rarity variants for every weapon which boost one of the stats of the weapon. The game features multiple social features as creating player's own platoons and clans. Clan Wars are also present in the game."
10313,lost-castle,Lost Castle,2016-08-31,2016,https://media.rawg.io/media/screenshots/ad9/ad9fe262d9379adbb3d65d6c2fd61c9f.jpg,3.22,,4,"PC, PlayStation, Apple Macintosh, Nintendo","Action, Adventure, RPG, Indie","Lost Castle is a super cute, super hard action RPG with roguelike elements and randomized dungeons. Brimming with a host of hand drawn, humorous characters and environments that embrace retro action with modern twists. Prologue: In its glory days, Castle Harwood was the heart of a happy land governed by wise and virtuous nobles. But those days are long gone now. Calamity has befallen these lands, and wicked magics corrupt the castle and all that surrounds it. Demons have claimed this rotten place for their domain and even the might of the empire is thwarted by their dark army... and slowly, the corruption is spreading. Castle Harwood is lost. Yet at the heart of this nightmare, something bright glimmers and fills the hearts of the mighty with the courage needed to invade the castle. The Lost Castle is filled with the treasure of the defeated Earl and it is the promise of riches that calls you. And maybe you can do some good, too. Key Features: Randomly generated dungeons, items, enemies and bosses. Hardcore retro action inspired by classic beat ‘em ups. Gorgeous hand drawn characters and environments. 80+ items and 50+ potions with useful, dangerous or hilarious effects. 150+ weapons and more than 50+ sets of armor. Massive variety of skills and special attacks. Sacrifice dead heroes to gain new abilities. . Two players co-op."
10327,spacechem,SpaceChem,2011-01-01,2011,https://media.rawg.io/media/screenshots/95a/95a557d6dfa6430dd662a136d71e5915.jpg,3.07,84.0,2,"PC, Android, Apple Macintosh, Linux","Strategy, Simulation, Indie, Puzzle","SpaceChem - a new puzzle with a unique design. You play as a SpaceChem Reactor Engineer, which, using the available source chemical elements, using chemical reactions, nuclear fission or synthesis to create new ones. The game is divided into several episodes, and the episodes, in turn, are divided into stages. Stages are divided into three categories by type — research, production and defence. In the research stages (usually they act as training tasks for new capabilities of the reactor), only one reactor is available to the player. In the production stages, the player opens several reactors, and he, combining them with pipes, must provide cargo ships with the necessary chemical elements. In the defensive stages (usually the final tasks of each episode), the player must be using the available means, stop any monster trying to destroy the production station SpaceChem."
10328,fault-milestone-one,fault - milestone one,2013-08-08,2013,https://media.rawg.io/media/screenshots/45b/45bed11eb22c8f78dffc798fdce10855.jpg,2.65,,4,"PC, PlayStation, Apple Macintosh, Linux, Nintendo",Adventure,"fault is a series of Science Fantasy Cinematic Novels using a unique 3D Camera system for a visually immersive reading experience, which follow the story of a princess named Selphine and her Royal Guardian Ritona. When a sudden assault devastates their homeland of Rughzenhaide, the two are forced to escape… but somehow end up teleported into an unknown forest full of vegetation they don’t recognize. The atmosphere is thick and heavy. There is no sign of life, which is very unusual for such a lush forest. Something is wrong about the land… But they are too startled to notice what.Who were the attackers and what was their goal?Where did Selphine and Ritona end up?Will the two make it home safely?And more importantly, what has happened to their homeland?Follow Selphine, the bubbly, happy-go-lucky Princess and her sharp-witted but slightly misanthropic Royal Guardian Ritona, on their journey of a lifetime back to their homeland of Rughzenhaide.fault's episodes are called ""milestones"" and scheduled to be released periodically, created by ALICE IN DISSONANCE, brought to you by Sekai Project."
10337,holy-potatoes-were-in-space,Holy Potatoes! We’re in Space?!,2017-02-13,2017,https://media.rawg.io/media/screenshots/912/9128e0dce6280f012841a79b88cb12e9.jpg,3.11,,4,"PC, iOS, Apple Macintosh, Linux","Adventure, Simulation, Indie","Holy Potatoes! We’re in Space?! is a whacky space exploration game where you manage your very own spaceship, craft hundreds of weapons, and explore the vastness of a veggie-filled universe.Play as sisters Cassie and Fay as they scour dozens of planets in a dynamic universe for their beloved grandfather, Jiji! Follow them on their quest and experience an engaging and ever-changing storyline with a diverse cast of lovable, anthropomorphic vegetables, which include some familiar faces!Holy Potatoes! We’re in Space?! features tactical, turn-based combat and a variety of weird and wacky weapons, each with special effects that can be used to turn the tide in battle! Ever wanted to maul your enemies with a horde of kittens? Don’t worry, we’ve got you covered. If you hated vegetables as a kid, this game is for you!Manage your crew, time and resources to craft a spudload of weapons and create the ultimate juggernaut of mass destruction!A charming, vegetabulous soundtrack of over 150 tracks by the talented Jeff “Pumodi” Brice will keep you entertained while blasting your foes to bits!Key Features:“Carrot” get enough of punny humor? Say no more!A compelling story that differs across playthroughs!Hire engineers from an array of strangely familiar edibles to man your ship and weaponsStrategic gameplay - micromanage your crew, craft a wide array of weapons and plan your attack against enemy ships! Explore dozens of planets and galaxies, or why not the whole universe!Various localization options!Casual Mode for stress-free “pew pew”-ing!Own a large, fluffy Space Cat. ‘nuff said."
